review,stars,raw_output,stars_pred,explanation
"My daughter and I went last Sunday for lunch. We were seated in about 10 minutes so that was good however, that was the beginning of the end. After 15 minutes I had to get the attention of the busboy and asked him if he could be sure we weren't forgotten.  About 5 minutes later the busboy brought water and said the server was coming. NOT!  We left after another 15 minutes passed and went to Red Robin.",1,"{""stars"": 1, ""explanation"": ""The reviewer experienced extremely poor service and left without being served.""}",1,The reviewer experienced extremely poor service and left without being served.
j'etais tres contente avec la nourriture ici et j'espere a manger encore par-la! translation: i was very happy with the food here and i hope to eat here again! merci beaucoup pour l'experience tres extraordnaire.,5,"{""stars"": 5, ""explanation"": ""Expresses high satisfaction with the food and eagerness to return.""}",5,Expresses high satisfaction with the food and eagerness to return.
"I stopped in today for lunch. The staff were nice, service was fast. The food would be what I'd consider a restaurant style bbq. The ribs tasted like they were smoked and dry rubbed, pretty good even though im more a fan of a more vinegary and fatty rib. The cornbread was ok. The hot sauce was a little over powering, not from heat..it just didn't leave any room for the flavor of the meat. Overall good experience but the place was empty...so if you want a bbq place in the South Side..you should probably stop in so they keep their lunch hours.",4,"{""stars"": 4, ""explanation"": ""Mostly positive experience with good service and food, though some minor critiques were mentioned.""}",4,"Mostly positive experience with good service and food, though some minor critiques were mentioned."
Worst food terrible service and was forced to listen to the worst music ever created by a live singer hired to torture our ears\nI could not wait to get out of here.\n\nIf there were negative stars for this review\nIt would be warranted,1,"{""stars"": 1, ""explanation"": ""Extremely negative feedback on food, service, and atmosphere, with a desire to give negative stars.""}",1,"Extremely negative feedback on food, service, and atmosphere, with a desire to give negative stars."
"Be prepared to take 3 ID's and a credit card with you because apparently these guys don't know how to identify their customers. We waited for almost an hour because 4 bouncers kept on insisting that my friends ID wasn't hers even after she answered their questions and showed them her credit card which by the way had another picture of her.\n\nSo after that whole unnecessary ordeal (the guy was just being a douche) we went to another club and guess what, we got in. Been to the majority of the clubs here in Vegas and never has this happened. All I can say is the staff here better get their heads out of their a** and realize people aren't going to look exactly the same on their license, especially after it was taken 4 years ago.",1,"{""stars"": 1, ""explanation"": ""The reviewer had a very negative experience with the staff and was unable to enjoy the venue.""}",1,The reviewer had a very negative experience with the staff and was unable to enjoy the venue.
"AVOID - LINES TOO LONG\n\nI came the week between Christmas and NYE.  At around 6, the line was about 3.5 hrs long.  We paid $20 each for the express pass which shortened the wait to only 20 minutes.  \n\nHOWEVER once you get inside, the FOOD LINES are also very long.  Around 7:30, there was a 30 minute long line just for the seafood.  I waited 20 minutes in the meat line!!!  I was pissed off the entire dinner because of the food lines and took more food than I can eat because I didn't want to wait in the line again.    \n\nBacchanal needs better food station management.  The seafood and meat stations always have long lines which block people from getting the other dishes besides the crab legs and the carving station.  \n\nThere was a sign that asked people to limit their eating time to 2 hours but that's impossible because you spend an hour just standing in each of the food station lines.  MANAGEMENT NEEDS TO ORGANIZE THE STATIONS BETTER.",3,"{""stars"": 2, ""explanation"": ""The review focuses on extremely long lines and poor management, leading to a negative overall experience.""}",2,"The review focuses on extremely long lines and poor management, leading to a negative overall experience."
"Ok, so I just tried this place after reading all the good reviews.\n\nLike someone mentioned before, the Lovely Bit O Salmon is awesome.  Of course I didn't get that, but my coworker did and it made me jealous!  I got the Spicy Asiago Chicken and although it was really good, it was nothing like the taste I had of the salmon pasty.  I will have to get that salmony creamy goodness next time. \n\nThese things will fill you up.  I felt like I needed a nap after my pasty lunch!",5,"{""stars"": 4, ""explanation"": ""Positive review with praise for the food and intent to return, though not perfect.""}",4,"Positive review with praise for the food and intent to return, though not perfect."
"I really had high expectations for this place given how everyone before me raved about it. Plus I have been traveling to research dishes when I open my own izakaya restaurant. \n\nOf course, my friend and I come here after being at LAX, so we may have gotten in on the tail-end of it all. Overall, it was not bad. Seems like the type of place you go with friends to drink and be merry. Not the culinary adventure I was expecting.",3,"{""stars"": 3, ""explanation"": ""The review expresses mild disappointment but acknowledges the place is decent for socializing.""}",3,The review expresses mild disappointment but acknowledges the place is decent for socializing.
"I went here as a last resort after being unable to secure a table at Beef-n-Bottle, so my expectations in regards to meat quality that day were a little high.\n\nThe first thing to expect at Outback is a fairly long wait on weekends; if memory serves me correctly, the wait on a Saturday night was about 50 mins.  There is a small waiting area to the left of the door that has complimentary lemonade and they also pass out samples of appetizers.  This small space is a real life saver when it's really cold outside.\n\nRegarding the food, I recommend either the Victoria Filet or the New York strip (rare or medium rare).  Since the prices are so reasonable, you're basically looking at a $10-14 steak if you get the sirloin and based on the comments from the table next to us, a $10 piece of meat is what you're gonna get.  While we enjoyed our filet and New York strip, the couple next to us was unable to finish more than half of their sirloins.  They said that the meat was kind of tough and dry.  I personally found my strip to be tender and juicy, however it was lacking in the seasoning department, let just say I needed a lot of steak sauce.  The loaded baked potato was cooked well, but the cesar salad that I had was very bland.  The dressing had almost no taste and the parmesan cheese was bland with an odd peppery taste.\n\nThe service was great, our waitress was very attentive and friendly.  If you asked me if I'd return, I'd probably say no.  The food quality just isn't what I'm used to in the realm of steaks.  To be honest, I've had better steaks at some of Charlotte's local bars.  If you're on a limited budget and want a steak dinner for $20 or less, you can't beat the pricing here.",2,"{""stars"": 3, ""explanation"": ""The review notes good service and some positive food experiences, but overall food quality and flavor were lacking, leading to a neutral impression.""}",3,"The review notes good service and some positive food experiences, but overall food quality and flavor were lacking, leading to a neutral impression."
Stop here almost every time we are in Vegas. Jell-o shots and redbull vodkas! We usually see the same bartenders too which is nice. Good service!,4,"{""stars"": 4, ""explanation"": ""The reviewer expresses consistent satisfaction with the service and atmosphere.""}",4,The reviewer expresses consistent satisfaction with the service and atmosphere.
"We LOVE This Place!!!\n\nWe went to Jacqueline's for the 1st time today for a late breakfast and were extremely pleased with the whole experience. They have a very colorful and fun decor and our server, Mindy, was an absolute sweetheart.\n\nI would definitely recommend both items we had - the Chorizo Omelet (killer) and the Croissant French Toast (Yummm) and the kid's are in love with the Mac & Cheese (kid friendly place).\n\nKeep up the good work, Jacqueline (whoever you are)....we'll be back for more!!! :)",5,"{""stars"": 5, ""explanation"": ""The review is highly positive about the food, service, atmosphere, and expresses intent to return.""}",5,"The review is highly positive about the food, service, atmosphere, and expresses intent to return."
"Great vibe and location for we S. Phx folk, but ye gods, beware ordering a \""house Cabernet\"" during Happy Hour - $12 a GLASS!  For happy hour house wine?  Are you kidding?  \n\nThe hhr food is a great deal, we'll be ordering beer next time.. phew.  \n\nCaveat emptor.  Bring a high limit credit card.",2,"{""stars"": 4, ""explanation"": ""Positive comments about the vibe and food deals, with a notable complaint about drink prices.""}",4,"Positive comments about the vibe and food deals, with a notable complaint about drink prices."
Pricey but hey..it's Vegas.\nGreat drinks - they're strong and yummy!\nGood selection of songs and nice variety. \nLove the view!!!\n\nPS Check out the bathroom ;),5,"{""stars"": 4, ""explanation"": ""Mostly positive comments about drinks, atmosphere, and selection, with only a minor note about price.""}",4,"Mostly positive comments about drinks, atmosphere, and selection, with only a minor note about price."
"$30+ for tiny, tapas-size plates of food, albeit delicious food. $50-$60 for \""entree' size portions that aren't much bigger. I'm giving it three stars because I knew what I was getting myself into and I wasn't suprised when I got the bill. The restaurant itself is nice...everything red and black. We sat at the bar and watched them cook, which is the whole idea of this place.  The food is good, but the value is horrendous. If thi is suppoed to be a more 'caual' dining experience, then they need to knock 25-30% off the prices at least.",3,"{""stars"": 3, ""explanation"": ""The reviewer enjoyed the food and atmosphere but felt the prices were excessively high, balancing out to an average experience.""}",3,"The reviewer enjoyed the food and atmosphere but felt the prices were excessively high, balancing out to an average experience."
"Mediocre food, enormous portions, and an uninspiring wine list make Kings Fish House the epitome of a boring chain restaurant's suburban location. They have the \""Hello, my name is Jane and I will be your server tonight!\"" kind of robotic service, which I find terribly annoying. \n\nI'd be willing to overlook all the above if the oysters - something they are supposed to be known for - had been great. Unfortunately, they were neither particularly fresh, nor were they shucked immaculately. Heck, the selection itself was a disappointment with three out of seven being from the same Mexican bay and only two East Coast options. And such disappointment was every dish we had from salads to main courses through \""specials\"", including the salmon that was colored to a hideous cadmium orange shade you would only expect to find on a Pantone color guide and not on your plate.\n\nLuckily, there are plenty more fish in the sea, so it's very unlikely I'll ever be back.",3,"{""stars"": 2, ""explanation"": ""The review details multiple disappointments with food, service, and overall experience, with no redeeming qualities.""}",2,"The review details multiple disappointments with food, service, and overall experience, with no redeeming qualities."
OMG!  My boss took me here for lunch.  You order and pay for your order 1st.  The hamburgers were to die for.  The fries were very good and flavorful.  Fried twinkee is what we got for dessert.  I loved the whole meal and will bring family and friends back for sure.  I will take pictures next time so you can see how much you get for your money.  You will NOT be disapointed.,5,"{""stars"": 5, ""explanation"": ""The reviewer expresses strong enthusiasm for the food and plans to return with others.""}",5,The reviewer expresses strong enthusiasm for the food and plans to return with others.
"Visited Casa Reyna in the basement of their strip district location off 21st and Penn avenue for lunch on Good Friday.  Their ambiance downstairs is decidedly cool and feels appropriate given the genre of food.\n\nMy co-worker and I opted for the special of the day: verde chicken enchiladas.\n\nThe chips and salsa were good.  The enchiladas were OK, but nothing special.  The chicken was tender, but it was just overly boring and nothing to make me say, \""Wow!\""\n\nWhat deserves special mention is the horrible service.  We were seated quickly, and then sat awhile waiting for our server.  He eventually made his way over, and after repeating our order a couple of times (due to language difficulties), we waited for our food.\n\nA decent amount of time had elapsed, but our chips and salsa were nowhere to be found.  Our chips showed up, and then thirty seconds later our lunches showed up.  I would have rather had the chips instantly while we were waiting for our food.\n\nAfter the food was delivered, no one checked on us for an extended period of time.  Since we needed to get back to work, we flagged down the manager (our server was too busy setting up tables to cater to the ones he already had), and asked for our check.  Instead of the manager getting our check himself, he tells our already in-attentive server to get it.  We never interacted with the server after the initial placing of the order.\n\nMore time elapses.....\n\nNow we are getting mad, because we've waited about 20 minutes after asking for our check, and the dirty dishes are still sitting in front of us.\n\nIt wasn't until we stood up, put our jackets on told the manager that we were leaving did he finally bring the check.\n\ntl;dr: Food was ok, service was horribly slow and inattentive for lunch.",2,"{""stars"": 2, ""explanation"": ""While the ambiance and some food items were acceptable, the review focuses heavily on poor service and underwhelming food.""}",2,"While the ambiance and some food items were acceptable, the review focuses heavily on poor service and underwhelming food."
"I will give TeePee a couple of stars for having lardless beans and for the weird old-school style of the place (it is a serious throw back to a time that no longer exists), BUT i ordered (in my pre-vegan era) the \""famous\"" chiles rellenos and what i got made me want to gag...\nwhat they have created is a green chile, flattened, and then covered in some terrible meringue! how in the hell is that a chile relleno?!? \n\""Relleno\"" means \""Stuffed\"" in Spanish, not topped with French meringue!!\nhttp://en.wikipedia.org/wiki/Chile_relleno\nthen they put some shredded iceberg on top and give you a side of some sort of mysterious red \""sauce\"" that you are supposed to use as a topping. \nI am a native Tucsonan who has been eating Texan, Arizonan, New Mexican, Californian and Sonoran Mexican chiles rellenos my entire life and can honestly say these are the worst I've ever had. \n\nthis is what Chiles Rellenos normally look like:\nhttp://www.roadfood.com/photos/7510.jpg\n\nthis is what you get at TeePee:\nhttp://farm2.static.flickr.com/1116/862689844_54188a24a1.jpg?v=0\n\ntrust me on this one. don't go here for the food. go here to smoke cigarettes, wear copper and purple colored clothing, and drive home in a much much too big car.\n\nI think i ate a Cliff Bar instead.",2,"{""stars"": 2, ""explanation"": ""The reviewer disliked the food intensely but gave some credit for the atmosphere and lardless beans.""}",2,The reviewer disliked the food intensely but gave some credit for the atmosphere and lardless beans.
Cox was great until I spoke with their customer service person Juan (Employee #1347). All I wanted to do was take some packages off that I currently have.\n\nI'm paying the 150.00 cancellation charge and Cox can shove it!,1,"{""stars"": 1, ""explanation"": ""The reviewer had a very negative experience with customer service and is leaving the company despite a cancellation fee.""}",1,The reviewer had a very negative experience with customer service and is leaving the company despite a cancellation fee.
"BURNED\n\nThis end of the strip seems to be full of New York style pizza places selling slices. You know the type of pizza that Jon Stewart from \""The Daily Show\"" thinks is the best pizza in the world. At the end of the day, real pizza comes from Italy and not any American city. I have never truly been a fan of NY style pizza. When I'm in NY I usually only buy a slice because it's cheap, fast and I'm hungry. \n\nSo here I am in Las Vegas and not New York. I was really hungry and needed a bite to eat for my walk home down the street. I stopped in for a slice and they threw it in the oven. It was in the oven for rather a long time. I really wasn't in a hurry as I checked my emails and waited for it. \n\nI finally got my slice and I decided to bite into it. The problem was that the pizza temperature was set to nuclear radiation heat level. The piping hot cheese stuck to the roof of my mouth and I couldn't get it off in time. All I could think was why didn't the person handing me the pizza slice give me a warning like, \""Hey be careful because it's really hot!\"" I didn't think it was hot because my slice looked dried out and there was no steam flowing out of it. A warning or something would have been a nice gesture. I also must take responsibility because I bit into it without thinking twice but I was hungry. \n\nI ended up with a nasty burn on the roof of my mouth. Luckily the roof of the mouth heals fast. I had to deal with the burn pain for a couple of days. It was annoying and made me have not fond memories of this place every time I ate something in Vegas. \n\nI really wouldn't recommend  this place unless you were hungry and just looking for a quick and cheap fix. Six bucks for a slice is not a bad deal in Vegas considering how expensive food is around here. I really wished I would have just walked by this location. The pizza wasn't that great just like New York City. If they were going for an authentic NY style pizza, then they nailed it. My only advice is to just check the temperature before biting in or you might get BURNED.\n\nOn a side note there are a ton of costumed characters hanging around nearby selling photo opps. It is kind of like a freak show of costumed crazies. These characters are in no way associated with this pizza place but you are going to have to go through this mess to get here. Enjoy!",2,"{""stars"": 2, ""explanation"": ""The review details a negative experience with the food and lack of staff consideration, resulting in a burn and overall dissatisfaction.""}",2,"The review details a negative experience with the food and lack of staff consideration, resulting in a burn and overall dissatisfaction."
"This Marshalls is great for dresses and accessories! I loved shopping here, when I lived in Charlotte. They always have a wide variety of dresses and you will always get a good deal. A large portion of my closet is from this Marshalls and everything I've bought from there is still in great shape.",4,"{""stars"": 5, ""explanation"": ""The reviewer expresses strong satisfaction with product variety, value, and quality.""}",5,"The reviewer expresses strong satisfaction with product variety, value, and quality."
I don't come in often - The bar scene isn't my thing but I can always count on Morgan in the kitchen to cook up some deliciousness.  I haven't been let down by the menu yet!  Thanks!,5,"{""stars"": 4, ""explanation"": ""Positive comments about the food and consistent satisfaction, with only a minor note about personal preference for the bar scene.""}",4,"Positive comments about the food and consistent satisfaction, with only a minor note about personal preference for the bar scene."
Re writing my review the owner handled the situation with professionalism and handled the situation with etiquette not displayed at other business.\nI will definitely give it another shot,4,"{""stars"": 4, ""explanation"": ""The reviewer appreciates the owner's professionalism and is willing to return.""}",4,The reviewer appreciates the owner's professionalism and is willing to return.
"Took Expedition in for inspection.  Got the call that everything passed except for front ball joints.... Cost???  $645!!!  Ball joints from Autozone cost $34 each.  I asked the mechanic doing the inspection how far out of spec the joints were... He couldn't give me a spec... Only that in his opinion, it was too loose.  I told them I would get the work done myself, citing the cost of the ball joints, to which he replied, \""well, we're not the lowest cost on the block.\"". \n\nI got the joints replaced for 1/5 of the estimate from Firestone.... And 2 mechanics that I went to both indicated they would not have failed the inspection for those joints.\n\nSo here is the point... My experience with this shop might be out of the ordinary, but it is the experience you dread when taking your automobile in for a mandated inspection.  My advice is to get a second opinion when a shop like this springs something like this on you.  Unfortunately, most people just pay the price and go on.  If you are able to get a second opinion, I would encourage it.\n\nThe workers at this shop are friendly.  Like I said, I hope my experience was an anomaly... But I won't be back, even though the location is very convenient to where I live. \n\nBtw... The truck passed inspection when I took it back in.",1,"{""stars"": 2, ""explanation"": ""The reviewer had a negative experience with pricing and trustworthiness, despite mentioning friendly staff.""}",2,"The reviewer had a negative experience with pricing and trustworthiness, despite mentioning friendly staff."
"Unlike the last review I wrote about an unconventional outlet mall, Outlets At Anthem is EXACTLY what you'd think of when you think 'Outlet Mall'. It is one mammoth of a shopping center and it doesn't matter WHO you are - you will mos' def.' find *something* that catches your eye in any one of the multiple stores (total understatement) located in this complex.\n\nWhether you're looking for Gap, BCBG, Banana Republic, Book Warehouse, Calvin Klein, Bose, Claire's, Kitchen Collection, Jockey, Polo, Perfumania, Ultra Diamonds, Vans, or Yogurberry (JUST TO NAME A FEW), the Outlets At Anthem have got you covered.\n\nBeing the avid swimmer that I am, I hit up the Nike Factory store and bought two (count 'em) TWO Nike swimsuits for $60. Usually one runs me about $75. Can I get a holllllllaaaa?!?!?!?\n\nThe only reason I *had* to take off a star is because this is an outdoor outlet mall, and in a place like Arizona, that is INSANE. The weather was SO scorching hot that I would have PAID an entry fee to shop at an indoor, AIR CONDITIONED shopping complex.\n\nAh well, still got the goods at the outlet prices. Can't complain...too much ;)",4,"{""stars"": 4, ""explanation"": ""The reviewer is very positive about the variety and deals but deducts one star due to the discomfort of the outdoor setting in hot weather.""}",4,The reviewer is very positive about the variety and deals but deducts one star due to the discomfort of the outdoor setting in hot weather.
"Can I give this place \""0\"" Stars??!! \n\nThis is the 2nd time I have come here and also the 2nd time I sat at the patio. The first time was not a great experience mainly because the outside server was terrible. She never came around and it made for awkward moments when she did. I decided to give it another try and what did I get?! Another terrible experience. \n\nI came here on this past Thursday night around 830PM. I wish I knew who our server was because I really wanted to complain. My friend and I sat down outside at a table and then a moment later another group sat down after us. Their table received drinks and appetizers before we even got asked what we wanted to order. We honestly waited about 10-15 minutes before I decided to hunt for a server inside and ask where the patio server was.  I let that person know we have been waiting for about 10-15 minutes and  haven't been approached for anything. This server was happy to go out of her way and at least get our drinks. She was friendly and was hoping she would be our server and not the normal outside patio server. Well, unfortunately the regular outside patio server  ended up being our server for the night. We then tried being optimistic about it and went and ordered both our drinks and food because who knew when she would come around to check in. Well, later the night came and another 15 minutes or so go by without our server coming around to ask if we wanted anything. I ended up going to the bar outside and was about to order when FINALLY the server came and asked if she could help. Whelp, another awkward moment between the server and us. \n\nLater that night, she came around once more and said she was closing out and if she could close our table. We said \""Yes\"". Let's just say that her overall service deserved a at most $1 tip just because I felt bad, but did give her a 10% tip because I'm not that mean. \n\nOverall, the food, was OK, the drinks were OK (little watered down on mixed drinks) and the customer service AGAIN was horrible. I am not giving this place another try because 2 times is enough and with the same experience.. They really need to fire most of their servers and get servers that actually know how to treat people and provide at the least \""Decent\"" customer service. NEVER AGAIN!  Oh, and the bands music is so loud that you couldn't even have a normal conversation without yelling. Tone the loud music down so that I can actually have a choice of sitting inside at a table than outside at the patio where all the smokers sit..",1,"{""stars"": 1, ""explanation"": ""The reviewer describes repeated poor service experiences and significant frustration, indicating strong dissatisfaction.""}",1,"The reviewer describes repeated poor service experiences and significant frustration, indicating strong dissatisfaction."
"Beautiful rooms and views. Room service is awful. The tuna tartare was tasteless and my quesadilla was so burnt I had to send it back. The room also had a number of technical problems that the staff could not solve, such as the tv in the bedroom not functioning. Overall, I wouldn't recommend this hotel.",2,"{""stars"": 2, ""explanation"": ""Despite some positives, significant issues with food, service, and room functionality led to a negative overall impression.""}",2,"Despite some positives, significant issues with food, service, and room functionality led to a negative overall impression."
Best collard greens I've ever had with BBQ to match. $3 pints of ANY BEER on Mondays. Super friendly wait staff. I'm definitely coming back here next time I'm in the area.,5,"{""stars"": 5, ""explanation"": ""The reviewer praises the food, drink deals, staff, and expresses intent to return.""}",5,"The reviewer praises the food, drink deals, staff, and expresses intent to return."
The food is ok.  I like the ambiance....it's a little expensive,2,"{""stars"": 3, ""explanation"": ""The review mentions average food, a positive ambiance, and a negative about price, indicating a mixed experience.""}",3,"The review mentions average food, a positive ambiance, and a negative about price, indicating a mixed experience."
"I agree with Kathy W. ... just got back from Vegas and went to Azure. My friends bought a similar \""groupon\"" thru Travel Zoo. I just noticed that it is currently featured in Groupon today. Bottom line is - DON'T BOTHER! You really don't have anywhere to sit (except the covered area with the street view) and you can't take it your drink out to the other pools. You might as well get drinks from the casino and use the free pool outside of Azure. Sure it's secluded, but really not worth your $$$. Again, I can't stress - DON'T BOTHER gettting the groupon.",1,"{""stars"": 2, ""explanation"": ""The reviewer expresses strong dissatisfaction with the experience and advises others not to go.""}",2,The reviewer expresses strong dissatisfaction with the experience and advises others not to go.
"I don't even want to waste a lot of time talking about how bad this place is...I'll try and sum it up. \n\n*Dining room was dirty, uncomfortable and hot. \n\n*Service was lacking. 10 min for the first greet. 20 min to order. 30 min for food. Every chance the server had he would go an do his side-work while eating...right in front of us. \n\n*Found a water glass at the table with lipstick. When we asked for a new one the server simply pulled one of the table new to us. NOTE: server man handled the glass at the top...where people put their lips! \n\nFood: Blah. Nothing exciting to report.  Maybe it's because I could get past the server putting his hands all over my glass.  Yikes. \n\nI wanted to like this place...",1,"{""stars"": 1, ""explanation"": ""The review details multiple serious issues with cleanliness, service, and food quality, resulting in a very negative experience.""}",1,"The review details multiple serious issues with cleanliness, service, and food quality, resulting in a very negative experience."
"I accompanied some fine folks to their final destination (just kidding).\nWe walked in and as they were filling out the application I stood near the door watching couples walk in, register, and walk out smiling. After 10 minutes of waiting I seriously started to get nauseated at the thought of marriage. Me and my non-commitment phobia (haha) then I started to feel the blood get a little thinner and light-headedness started. I started to breath heavier then finally the fine young couple finished their business as I was relieved to leave.\n\nLast time I was a maid of honor at a girlfriend's wedding. This time I was a witness at a wedding. What's next? Stay tuned.",3,"{""stars"": 3, ""explanation"": ""The review is mostly anecdotal and neutral, without clear positive or negative feedback about the business.""}",3,"The review is mostly anecdotal and neutral, without clear positive or negative feedback about the business."
"If I could rate zero stars I would. Bartender was cordial, not his problem but $18 for a bottled bud light with a free drink coupon changed my entire night. What in the world?? This cannot be Las Vegas,  I must be in Prague. Never and I mean ever going back to this ridiculousness.",1,"{""stars"": 1, ""explanation"": ""The reviewer is extremely dissatisfied with the pricing and overall experience, stating they would never return.""}",1,"The reviewer is extremely dissatisfied with the pricing and overall experience, stating they would never return."
The line at the Wicked Spoon was too long so we headed over to the mall.  This was the first place that we saw.  As 3 starving hungover girls it satisfied us just fine.  I ordered the chicken fajitas which were surprisingly tasty.  The service was definitely slow and the sodas cost $4 a pop.,3,"{""stars"": 3, ""explanation"": ""The review mentions decent food but slow service and high drink prices, resulting in an average experience.""}",3,"The review mentions decent food but slow service and high drink prices, resulting in an average experience."
"Hey I think this place is great the bagels are fresh, the salads are fresh, and the Black and White cookies are out of this world. The people are nice and the everything is ready quickly. If you want, need, have to have a great bagel, this is the place to go.",5,"{""stars"": 5, ""explanation"": ""The reviewer gives high praise for the food, service, and overall experience.""}",5,"The reviewer gives high praise for the food, service, and overall experience."
Ate here for the first time the other night with my wife. It was happy hour so we stuck to the rolls on special. To our delight everything was great. The tootsie roll was our favorite but we also liked the calamari roll and the spicy tuna.  The only knock was the seaweed was way too chewy had it been better I would give it 4 stars. We will eat here again for sure.,3,"{""stars"": 3, ""explanation"": ""Mostly positive review but a significant issue with the seaweed prevents a higher rating.""}",3,Mostly positive review but a significant issue with the seaweed prevents a higher rating.
Loved this place. The duck tacos were fantastic. Also I would highly recommend the messy sundae.,5,"{""stars"": 5, ""explanation"": ""The reviewer expresses strong enjoyment and recommends specific dishes.""}",5,The reviewer expresses strong enjoyment and recommends specific dishes.
"I recently did a pizza crawl through squirrel hill with a friend, where we hit every single one of squirrel hill's 7 pizzerias, and got a slice of pepperoni pizza at each one in a row!  Our favorite of all of them?  Mineos!  It's like loading a shotgun full of delicious cheeses and pulling the trigger.  Their pizza is all around good, but it's primarily a righteous cheese delivery system, and a cheese lovers delight!",4,"{""stars"": 5, ""explanation"": ""The reviewer enthusiastically declares this pizzeria their favorite among several, praising the cheese and overall quality.""}",5,"The reviewer enthusiastically declares this pizzeria their favorite among several, praising the cheese and overall quality."
"This is by far the worst hotel I have ever stayed at in Vegas.  We were here for 2 nights.We got locked out of our room due to our keycards not working, not once but twice!!!  This cost me about an hr of my time. On top of all this, there was a half eaten burrito in our fridge, which smelled like a concoction of garlic and puke.  \n\nSo after all this we were only offered a $50 credit for dining! \n\nThe rooms are lacking in size and decor. The casino is small. The pool was tiny.  Why the F would any one come all the way down the strip to stay here? \n\nI will NEVER stay here again.  Wynn/encore owns this place in every respect. Don't waste your time or money.",1,"{""stars"": 1, ""explanation"": ""The review details multiple severe issues and expresses strong dissatisfaction with the hotel.""}",1,The review details multiple severe issues and expresses strong dissatisfaction with the hotel.
"Yum!\nCute, cute place!!  Go for specialty groceries, pastries, or a quick lunch or breakfast.",4,"{""stars"": 5, ""explanation"": ""Very positive tone with multiple enthusiastic recommendations for different offerings.""}",5,Very positive tone with multiple enthusiastic recommendations for different offerings.
"This place is ok. Really not much more to say....but I will! All of our hamburgers were burnt and dry. Not good. The onion rings were tasty, fries were average and price was steep. You can \""build your own\"" so that's interesting but it didn't matter what I had on there - it was burnt. \n\nWe got 3 meals for $45 - oddly, there was a 10% discount for paying with cash.",2,"{""stars"": 2, ""explanation"": ""The review highlights mostly negative experiences with the food and price, with only minor positives.""}",2,"The review highlights mostly negative experiences with the food and price, with only minor positives."
"I like this place a lot more now that I've been inside.  Ladies free admission w/ free drinks 10-12pm!!!  There's no line, you're in and you're able to get out.  No problems with any of the staff - they're all very nice (even the go-go dancers).  The drinks are also strong  :]  The place is small, but bigger than I had imagined & you're able to sit for free!  The lounge is inside, but there is also a bar people can chill at just behind the REVOLUTION letters.  I wasn't too keen on the DJ... he messed up a couple times or maybe the music just wasn't to my liking?  Definitely a good spot to come to for free drinks & lounging around w/ friends.  My friends and I were dressed up, but I saw some people who were dressed VERY CASUAL... I'm talking guys wearing just a t-shirt w/ a beanie, converse & girls in denim w/ a dressy-cas top.  I would say the crowd is a little on the older side.",4,"{""stars"": 4, ""explanation"": ""The review highlights several positives like free drinks, friendly staff, and a good atmosphere, with only minor complaints about the DJ and music.""}",4,"The review highlights several positives like free drinks, friendly staff, and a good atmosphere, with only minor complaints about the DJ and music."
"This review is for the miniature golf only.\n\nIf you are in Tempe you don't have many options for miniature golf nearby. It's either Fiddlesticks or Golfland Sunsplash. If you are trying to figure out where to go, go to Golfland. They at least have interactive courses, some variation, and working \""streams\"" for about the same price. At Fiddlesticks the courses are very plain and repetitive. They might be good for practice but are not a lot of fun. Also Google maps may send you the wrong way finding Fiddlesticks. It's on Elliot in Tempe between Priest and Hardy not Chandler by Alma School.",1,"{""stars"": 2, ""explanation"": ""The review highlights lack of fun and plain courses, recommending a competitor instead.""}",2,"The review highlights lack of fun and plain courses, recommending a competitor instead."
"This place is good but was better with the previous owners. Regulars/betters would get a few drink tickets for making bets and it was a nice courtesy. It still has some appeal but they generally only run free events on TV or HBO boxing. UFC, Strikeforce, and other events take a back seat. You can bet but need to go somewhere else to watch them. Sportsbar attached is nice with many beers to choose from. If you like wine-they used to have some half way decent ones- they are down to some really poor picks. Mixed drinks they got it all. This review is about the sportsbook and connecting bar only.",3,"{""stars"": 3, ""explanation"": ""The review notes both positives and negatives, expressing that the experience has declined but still has some appealing aspects.""}",3,"The review notes both positives and negatives, expressing that the experience has declined but still has some appealing aspects."
